year,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20697476178313112,0.07362139369420888,0.0,0.28059615547734,0.28059615547734
1751,0.001571133349413203,0.000543355387092612,8.645073681302971e-05,7.95800959438715e-10,0.0003,0.0,4.965148078900956e-05,0.0,0.00059242019027888,0.00258941698652649,1.743846258563708e-05,-0.0002290738886122979,0.2069870638871654,0.05527510463170887,0.005520793500687523,0.2622621685188743,0.2677829620195618
1752,0.0031418515100640615,0.0010863583642373308,0.00017289077563226193,1.59160191887743e-09,0.0006,0.0,9.927075857392026e-05,0.0,0.0012031184253446239,0.004029280261217988,3.48896546686984e-05,-0.0004581477772245958,0.2069912033656982,0.02519717494420888,0.009909513564116207,0.23218837830990707,0.24209789187402328
1753,0.004712154722442406,0.0016290095374276448,0.00025932012268061085,2.387402878341742e-09,0.0009,0.0,0.00014885788873004405,0.0,0.0005621942946740852,0.002376548313562475,5.229220839872424e-05,-0.0006872216658368925,0.20699258705960896,-0.010980583844853616,0.009953157809481977,0.19601200321475534,0.20596516102423731
1754,0.006282043226836185,0.00217130951091752,0.00034573878417009876,3.1832038377804574e-09,0.0012,0.0,0.00019841292647373635,0.0,-0.0007714066070127983,-0.0017030272076487803,6.970749162616952e-05,-0.0009162955544491916,0.20699305231959544,-0.04539547642297862,0.0068764857541167785,0.16159757589661683,0.16847406165073361
1755,0.007851517263319558,0.0027132588872292454,0.00043214676629947657,3.979004797219172e-09,0.0014999999999999998,0.0,0.000247935926863113,0.0,0.0005838779566317344,0.0003167516011965166,8.710482042580036e-05,-0.0011453694430614884,0.18002457943265213,-0.06987279575891611,0.012587227757908753,0.11015178367373601,0.12273901143164477
1756,0.009420577071760425,0.0032548582671601644,0.0005185440752550731,4.774805756657887e-09,0.0018,0.0,0.0002974269447986655,0.0,0.000281621181133492,0.0016061531155835307,0.00010985388170947841,-0.0013744433316737873,-0.07067588034312032,-0.0774546805245411,0.0159145959805328,-0.1481305608676614,-0.1322159648871286
1757,0.010989222891813387,0.003796108249789142,0.0006049307172128558,5.5706067160966024e-09,0.0021,0.0,0.00034688603502385163,0.0,0.0004097438894959459,-0.003565529273429982,0.0001272153016535605,-0.0016035172202860841,0.07334789008962246,-0.058312761579228614,0.013205066161879393,0.015035128510393847,0.02824019467227324
1758,0.012557454962932108,0.004337009432484158,0.0006913066983344352,6.366407675560915e-09,0.0024,0.0,0.0003963132521257897,0.0,0.0004311543840054245,-0.0014789533358349398,0.00014455876716981211,-0.001832591108898383,0.16026476170288853,-0.006955632672978618,0.01764625941872608,0.15330912902990992,0.170955388448636
1759,0.014125273524358654,0.0048775624109083995,0.0007776720247711445,7.162208634999629e-09,0.0026999999999999997,0.0,0.00044570865053581506,0.0,-7.469145295055062e-05,-0.0022526854350759288,0.00016188427825827972,-0.00206166499751068,0.19121319464908546,0.04354346400670888,0.01869906616550377,0.23475665865579434,0.25345572482129813
1760,0.015692678815124927,0.005417767779027962,0.0008640267026612539,7.958009594438344e-09,0.0029999999999999996,0.0,0.000495072284530184,0.0,-0.0012343110805469017,-0.0048361551833214994,0.0001791611509937407,-0.002290738886122979,0.20168879146455745,0.06842639857702137,0.017287509540356287,0.2701151900415788,0.2874026995819351
1761,0.017259671074058985,0.005957626129117445,0.0009503707381320314,8.753810553877059e-09,0.0032999999999999995,0.0,0.0005444042082305844,0.0,-1.048389234341185e-05,-0.0037405026050173307,0.00020152721638016483,-0.0025198127747352757,0.20521128422839574,0.06227976771764637,0.021942808847633746,0.2674910519460421,0.28943386079367583
1762,0.018826250539779207,0.006497138051767886,0.0010367041372981677,9.549611513315775e-09,0.0036,0.0,0.0005937044756048624,0.0,-0.0004788706974543135,-0.0018080775100758177,0.00021589765261490057,-0.0027488866633475747,-0.7992747500388983,0.040189338030146377,0.025733869535798832,-0.7590854120087519,-0.7333515424729531
1763,0.02039241745070179,0.00703630413589273,0.0011230269062626264,1.0345412472780087e-08,0.0039,0.0,0.0006429731404675654,0.0,-0.0003112170684023914,-0.001975834393625335,0.0002302502802525884,-0.0029779605519598715,-0.4882538998273927,0.006850885881708881,0.028059970245002175,-0.4814030139456838,-0.4533430437006816
1764,0.021958172045028923,0.007575124968734634,0.001209339051116683,1.1141213432218801e-08,0.0042,0.0,0.0006922102564805662,0.0,0.0018528318041403282,0.0031552030468883796,0.00024458509929330206,-0.0032070344405721704,-0.04279523681236968,-0.02990409458704112,0.03768044297232407,-0.0726993313994108,-0.03501888842708673
1765,0.02352351456076106,0.008113601135871923,0.0012956405779399657,1.1937014391657516e-08,0.0045,0.0,0.0007414158771536517,0.0,-0.0005652736479436078,-0.0037350066035149393,0.0002589021097369662,-0.0034361083291844672,0.12234808615990513,-0.05974801548547861,0.03069669761783494,0.06260007067442652,0.09329676829226147
1766,0.025088445235691165,0.008651733221226135,0.0013819314927996885,1.2732815351096231e-08,0.0048,0.0,0.0007905900558452125,0.0,0.000884841665510668,-0.00022038883950464792,0.000283817949706375,-0.003665182217796764,-0.19772879473055,-0.07386654575891613,0.03799580129629317,-0.2715953404894661,-0.23359953919317292
1767,0.026652964307406143,0.009189521807066978,0.0014682118017523068,1.3528616310534947e-08,0.0050999999999999995,0.0,0.0008397328457626962,0.0,0.0007372090931420941,-0.0003574548054318337,0.00029809934295601707,-0.003894256106409063,-0.2550089618081537,-0.06068405064172861,0.04003404181486165,-0.3156930124498823,-0.27565897063502065
